,Needs
116,Without the ride to school and the scheduled time you will lose the structure.
117,"I feel that there is not always understanding from the training that you may not know anyone. As a result, making groups can become very stressful."
119,no
120,"The workload is still too high for this difficult period, I don't feel that the work has been adjusted to the situation. This makes it incredibly heavy to get through."
121,I need to talk to a therapist/gp. I've talked to the academic counselors and they are unable/refusing to help me.
122,The relocation with project enjoyed (especially online) was by no means as efficient as it could have been if the face-to-face on campus could have been. This has certainly had an effect on the time needed for assignments and the final results.
128,"Duration this Covid Situation, I've Found It is Difficult to Do the Group/Lab Assignment from Finding the Group Members/Partners and Doing the Assignment EspecaXLY AS International Student. Therefore it makes me worry about my academic sitation and worry that I Couldnt Finish in 2 years. If I Couldnt Finish in 2 Years, I Don't Know How to Pay the Tuition Fee for the Upcoming Years. thank you"
129,"Working together in groups for projects is frustrating, due to the lack of social control it is a lot less smooth."
133,"Little contact with supervisors, feel alone and little available from TU"
135,At the moment I experience little guidance during my Bep.
140,"Not specific problems with myself. Only I would like to let me know that I, and really many people around me have had the feeling of being abandoned. You feel that you are only there (together with your fellow students you know/ live with). It seemed as if the TU itself does not want to recognize the problem. There have been two surveys as far as I know, the first of which turned around the problem and it seemed as if the TU did not dare to ask how people really was doing, and this is a bit of the mustard after the meal. I still think it is very good that it happens, not that. In addition, little has really been undertaken (in my studies) to make education on location possible, or to search for something of social contact."
141,"The Rule About Paying Fees After May 31st Until August 31st Makes No Sense As I Myself Have Written Some of the Exams In My First Year in July. then why should I pay until August 31st when I have already graduated in June. Please do something about this. As Stress Due to Financial Burden (Especiate Duration Pandemic Times) is QUITE HIGH, A MULTSUDE OF FACTORS Including This Stress Have Contributed to My Declining Mental Health. While Measures Are Tasks to Reduce Tuition Fees for EU Students by 50 percent, Literally Nothing is Done in Favor of the International Students. Such Measures and Stoic Responses to Emergency Pleads, Make Me (An International Student) Feel Like the Money I Pay is Valued More than Myself. Doesn't this need a fix?"
148,Stress and fear due to performance pressure and too short of social contacts.
149,The quality of feedback with online guidance is lower. The lack of clarity around models in the design courses is awkward + I don't think you can ask for a model if there is not a room for structure to work on it for several days.
150,"Motivation Problems to sit back at home and be effective if there is no direct pressure behind it (deadline/exam), so that I am working from deadline to deadline"
153,"Low motivation, difficulty concentrating, feeling of loneliness, not very connected to knowledge/friends that I normally only see at university"
156,"In the time that I still lived at home, I barely felt connected to the university and fellow students."
162,"For myself, make the distinction between studying and relaxing. Because you study all day at home, it is difficult to get rid of it and and the threshold to do something in the evening is also low. I struggled to get rid of studying and really relaxing. That is much easier with physical education because you have a place for studying (the uni) and a place to relax (at home)."
164,"When Classes are physical again, it should be optional for physical attendance to be request - online options need to be avialy for all courses regardless of the physical class occurring. This past year has proved that a simulcast of Digital and Physical is Possible. Additionally, The University Needs to Allow Administration Forms / Academic Counselor Meetings to Be Digital AS Well. I found it very stupid that I had to travel for an hour one way just to deliver a form in person because e-mailing is not an option as its even insecure! Also I need tu delft to fix their Microsoft Licensing - I do not have access to many Microsoft teams features because I'm a student having to use my @tudelft.nl account in tandem with my @student.tudelft.nl account. (My Partner is in It and They Consistently Rag on Tu Delft's Poor Microsoft Architecture.)"
166,"Far too little physical contact with other students, Slow very poor comminucation with Proffessors if you have questions."
169,"poor accessibility of teachers, far too long waiting times for psychologists and study advisers, substandard preparation for Master Thesis, little contact with fellow students"
170,I would like to feel that the Tu Delft Cares About My Education
171,"Connection with Continuation Can my career after graduation, many online companies things etc. attended, but this didn't really feel like a success."
172,"The long days behind your laptop were very tiring (but understandable). In addition, it would have been nice if more study places were available faster, so that no longer was only in your room every day. The education of course had to give way to the Corona crisis, but sometimes it was made very difficult. I would have liked it if there had been a choice during my studies whether you wanted to take your exam online or physically (since Q4 2020 everything has been physically in terms of exams). I sometimes found that you had to come physically unnecessary, since this also happened just before the Christmas holidays when everyone went to his parents afterwards. When you missed an exam by Corona, it was made fairly difficult to request an extra resit. This actually only encouraged students to come to the uni despite any complaints or quarantine. The same applies to Lab; It was said very clearly that when you missed a day by Corona or something, it was not possible to catch up and that you have to do it again next year. I thought this was incredibly weird and also irresponsible. She threatened with a year off if you just followed the Corona rules. This was very bothering me and I also noticed the stress of my fellow students that they were really not allowed to miss a day. This while some students live in large student houses with more than 18 people. The chance that you must then be in home quarantaine because one of these roommates has been (possibly) in contact with someone is simply quite high. So you are actually punished during the 4 weeks of this lab when you just follow the rules. I don't think your students are going to blame students for this, but it also entails the fellow students. In addition, it was also fairly annoying (also understandable) that the BEP period continues for at least 2 weeks during the holidays. In addition to these 2 weeks, most students also have further outlet. I thought it was fair that the BEP students were met in this, since, for example, the number of Lab Days of younger Years had been considerably reduced (not just lab). A lot of feedback, but of course I also realize that it was also very stressful for the professors and for university staff. So wants to close with; thank you very much!"
173,Burn-out during graduation.
174,"Not being able to see/notice that if you are stuck or do not go well, there are often direct fellow students in the same boat."
175,"no new people meet, making it difficult to form groups of groups"
179,"What a weird/unclear survey, at a certain point the coronacrisis is at the top, ends and education moves towards a hybrid future. Which parts of the past year would you like to take with you to the future? Useful question, but then all statements are about the survey itself. Just about half of the survey consists of answering what you think of the survey ..."
183,"1) Studying continuously in the same place. The creation of a distance between study/internship moments and moments of rest was therefore difficult. What I missed the most is following lectures and working groups on location. 2) Graduating is already a relatively lonely process because you are mainly dependent on yourself. I think this was strengthened by Corona and working from home. Although I am well guided through my entire committee (I can hardly notice anything) this feeling remained. At a later stage, more 'activities' and digital meetings were organized. I don't know how this should be tackled differently."
184,Sometimes a feeling of misunderstanding that things are less obvious by Corona. And that the idea prevailed because it was just there you knew how you could deal with it and therefore had to do that.
185,"Study pressure was very high, especially for first -year students. You have to get used to a new city and new study, now with the Corona crisis, even more independence was expected from us. Occasionally it was very difficult to motivate yourself."
188,Little contact between Proffessors and Student. It was not pleasant/motivating to have to look back only from previous years instead of newly recorded lectures
190,"I found that the study adviser did not communicate well. I totally agree that no one is obliged to answer his or her mail within a day, but a week while I really did not be able to study, I find it ridiculous. Was very happy that I also have professional help outside the TU. I find it annoying not to be able to trust the TU."
192,"Many teachers and coordinators showed understanding via e -mails and messages on BrightSpace about the measures and that it is very difficult to study well. However, this was not reflected in the workload and expectations. We had as many deadlines and had to perform just as well as before. This led to extra stress."
194,"I think the pressure is too high. The BSA is lowered with five points, that doesn't make it any easier. During a pandemic, where a huge number of people have lost their lives, it did not feel like it was understood that the chance that someone died in the area was great. I myself have lost someone and I personally thought that there was no enormous understanding. I have to admit that I have not asked for a lot of help, but I think it might be a bit understood that not everyone will quickly board a study advisor or do such a wellness week. I hope that fear of failure, stress and burnout will be prevented, because I think this academic year was enormously tiring and sometimes really annoying. I like the study and I understand that many of them are outside the hands of the university/faculty, but I think it is good to say all."
196,"I give an example. My brother is in 6VWO, and together with a good friend they would study in Delft next year. However, the night before the first exam, the whole situation has become too much for my brother's friend. The stress, the uncertainty, the lack of social activities and above all 1.5 years are trapped in your own house became too much for him. Road exam, road study in Delft. There is no look at victims like him. There is no graph fallen young people due to psychological complaints as a result of the coronacrisis on the government's corona dashboard. People like this are forgotten; In all conversations, in all considerations, and in all evaluations. And that is unjustified, because they are also victims of the coronacrisis. I would have liked to see that universities would be a figurehead for how heavy young people are in this crisis. But instead they are the opposite: in my experience the TU only makes my problems worse."
210,"Too few contact moments with fellow students, too much online education, working too much on a computer, resulting in my neck and eyes, procrastination due to too little motivation at home."
211,"The survey is written in a past tense, it is a bit vague about what time span it is. ---- I am now working on the completion of my bachelor and I have never felt so bad. I spend all days at home and have daily breakdowns. To ask for help online I find more difficult than walking by someone. I hardly have more contact with fellow students, even though I need it."
212,"The house situation has become so grim since the Lockdown that a roommate has threatened with suicide last week (and seems as if this person wants to blame me and the other housemates). I already asked the study advisers to work at the TU for more often because it was not going at home, but I feel that they do not want to offer help. Shortly thereafter, study places opened again but never have the feeling that they are enough working hours for a graduation student. By filling in this survey (and especially this question) I think I have to contact the study advisor (or psychologist) again."
213,No good separation between work and private time High rising work pressure makes it even more difficult to maintain this separation
219,"Online meetings last all morning/afternoon or even all day. Often things also run out, so there are little or few breaks in between, so that I can no longer concentrate and feel bad about my studies. I don't really feel that last year I 'lived', because everything is so aloof, everything feels like a kind of online course, but not like real studying"
223,Lack of sport options
228,Lack of motivation and mental well -being
229,"Sleeping, studying, living in the same room is not fun. Very nice that you can now reserve study places. Attention at lectures online is also difficult, again physical lectures. this year no physical college due to minor and 3rd year subjects no rights"
232,Noise pollution on TU Campus. And not wanting to recognize this nuisance that causes this.
233,"For some courses, lectures are replaced by separate knowledge clips. Because of this you cannot ask questions during a lecture and because it is not live, you quickly slide it out for you to view. Knowledge clips ensure that the tire with the TU is becoming less and less. It also feels the teacher does not take the trouble to talk to you immediately. In the clips, the theory is treated very quickly as a kind of script, without a joke or a little lightness in between."
238,"no prospect, study pressure remains high or is higher due to online exams, the problem that you cannot or cannot alternate from the environment"
239,"There is much less contact with fellow students. In a hem, teams or whatever you do less quickly and you are studying more yourself. Because there are not many lectures at TB, I have weeks the idea of ​​yes ehm what should I do now. By giving some clearer lectures instead of just old recordings, you still have the idea that you have to do something."
240,- Little contact with fellow students and fewer friends -> More social fear - The feeling that you 'have to do everything on your own' - study long days/not a good balance between study and leisure time
243,"I would like to be treated as a student trying to learn education and a way of life about here Instead of Being treated Like Trash for not knowing something all the time. While that may be a tall ask, I really ask you people to consult up normal Departments So we can keep coming over and feel Like Students Again, Considering that a great percentage of the country has vaccined. Totally Unrelated: This survey works in Edge Only and not Chrome. Ironically you ask the opposite in your mail."
244,Motivation and lack of variety
245,"From the moment the quarantine started, I got into trouble with structure in my life. Constantly changing the measures has certainly not helped with this. We have returned a lot in quality and effectiveness because all meetings went online, I don't feel that enough has been done to compensate for this. I also have the idea that people do not understand how heavy students are talking if the structure of the university falls away."
247,"no or few contacts with other students, greatly reduced social life"
250,"As I have already mentioned, housing in Delft is extremely hard to come by at an affordable price so I wish tu delft provid housing for at least 3 years of the bachelor. Especially in a year where due to corona you don't know many people personally, it is very hard to find a good room. yeah but not sure that in the hands of the university"
252,"For the love of good, add more breaks between quarters .... I don't know one single student who is not absolutely burned out at this point of the academic year. I don't know if this is because of covid or if this is common at tu delft, but having one long break in the summer and practically no breaks."
256,"Studying at home brings an incredibly big challenge in the form of motivation and discipline. I noticed that the longer I was at home, the harder it became to work."
258,"It is really a big loss not to be able to study on campus, not to see your fellow students etc. And because you are only at home, you have plenty of time to study way too much, because there is nothing else to do. The problem is that nobody can study effectively for 10 or 12 hours for 5/6/7 days a week. I think the TU could have done more to keep the study load real (including through communication with teachers)"
261,ergonomic complaints
262,A need to be motivated to study for the exams in 2 weeks.
263,"I don't have a safe home situation, so that makes studying very difficult. I was allowed to sit on campus, but there was really nobody at all. So I still missed the distraction very much. You can zoom out or something, only that is so different than being with people in terms of getting distraction from your environment. So I really missed the safe place of Campus, where you really are in a different world. I had a lot of contact with the study adviser about my personal situation and I found it very difficult that it was online. You then discuss personal things that it is not nice if roommates hear that when they walk by. I also find it difficult to trust someone I only know online (I started this year at the TU) and then to discuss problems with it. So it would be nice if during a subsequent pandemic there would be an option to walk outside in real life with the study adviser to get acquainted."
264,"I would like more clear plans for the next year. if I would know it's mandatory to be on campus I would look for accommodation. Otherwise, I'll Plan Some Traveling While Studying Remotely. But these things take time and some clear plans for next year would really be helpful."
269,"Foreign policy of the Executive Board is short -sighted, don't care about students and only about their own liability. Do not realize how heavy MSC Cohort 2019-2020 is affected in terms of the quality of education."
272,"Personal distance between me and fellow students and me and the TU. The value that I attached to a TU diploma (in the past year) compared to a (for example) LOI course certificate has been a question that I have often asked myself, feels remotely as a LOI course, not entirely ideal. No income but all costs still have to continue to pay."
276,I have had the problem several times that I could not enter the CitG building for a study session. I also wanted to speak PhD students to half past eight and then to notice that I was not allowed in. I want access to my university again.
279,The most annoying: working from home/taking exams while the WiFi is bad and the internet provider indicates that the WiFi cannot be improved
280,"Working groups are certainly less efficient than offline online. When in a group with international students it is even more difficult (literally resolve in translation), cultural differences, low level of the English language, do not show up etc are all problems that occur. That gives a very negative and even poorer motivation and efficiency, this would be easy to solve by seeing each other more often. After a year of coronacrisis, it is still difficult to separate studying at home and not to study. There is always the possibility to continue. When I am alone, I notice that I am not taking care of myself. Skip meals, or haste, for example because there is still a meeting at a crazy moment."
287,"I need social contact and notice that my motivation level is very low when there are no mandatory lectures or working groups, because we had a lot of self -study, I noticed that I was doing everything for me"
289,"It was pretended from the entire university as if there was no corona and that it was no influence on the way of studying. But sitting behind the computer all day in meetings, is not the most efficient method of studying, certainly in comparison with ta's home lectures. However, zero is taken into account, so you usually spend twice as long in assignments."
294,"That my teacher no longer recorded the college because few people showed up. But during the lessons I received from him, I had other courses the year before."
295,"I really like that we can come to campus more and more often, so I can work and work together much better and ask questions."
298,"Sometimes it was difficult to find motivation to follow lectures on my own and to make assignments. There was often a possibility to ask questions, but often there was a long line to ask a question and it is a bit more difficult online than in real life"
300,"Physical lectures and studying on campus, I hope they will not be replaced with online environments."
301,"My motivation and concentration has fallen considerably in the last 1.5 years during the Corona. I am not good at studying online/ remotely. I tried different ways, but without results. I ignore my studies at the moment, which I feel a bit guilty about. Not the ideal situation, I look forward to a 'normal' study year!"
309,"Few known fellow students, little interaction, few activities, I have come out little, alienation from my environment, unsuitable living space, depression, gloom, if the weather was nice outside I didn't even realize it, poor school performance, little motivation."
310,"Colleges that I had to look back were sometimes not really focused on the viewers, think of using a pointer that you don't see at Legeerama, I have the feeling that we are a bit matted in terms of exams of exams and because of that feeling I find it difficult to estimate it how difficult such a university study really is"
311,"Little contact with people, but that had to do with a feeling of insecurity and fear of Corona. Despite good adjustments for a workplace, it was sometimes very difficult to work at home. With depression it is very easy to lock yourself up at home for days."
312,"I didn't understand the past tense of the questions. Furthermore, I fear that when we leave the epidemic will not change much. A general consensus that one must be useful is already in this survey. Yet I think you can have a vision of how it could go and not sit down. It is only difficult to find a balance between what you project on the other, but on the other hand your own I also adjust. I really enjoyed the movies of the rector and the math teacher. Especially those of the mathematics teacher. About mathematics and music. I also had an additional question for her: how could she use the two to describe humanity?"
313,"I did not suffer from problems during the coronacrisis in terms of education. Perhaps a problem was that my first project (I study electrical engineering) the moment it was useful to be physically present, was moved to online by the increasing infections. I respected that decision enormously, because I did not feel safe with my fellow students who were shit on the measures. Yet I thought it was very unfortunate to hear that a mechanical engineering student was allowed to go physically physically every week. This felt very skewed and unfair to me."
317,The combination of a smaller social life and sitting in my room all day made it difficult to stay motivated and concentrated.
321,"Not motivated to do something, often don't do anything behind my desk for whole days"
322,Subjects that are rather messy on BrightSpace are very tiring and time slurping. Does not really work well on the motivation
323,"I would appreciate it if the tutors were aware of the fact that students need a break from academic work, thus, not pushing too much conserving the limited academic environment. If I Slept Enough and had more time for recreation, I would feel a lot better."
325,I Need Discussion and Innovation
326,Social contact in The Academic Setting is Needed. Not just for free time
327,Not being able to watch his shoulders about another student and ask each other questions at that moment. Conversations on the corridors. The real io vibes. And constant distraction from games and youtube ... but mss that is a personal problem.
329,"I have a big problem with online education, I feel I am not motivated at all. But I keep pushing myself to finish what I have started."
330,"I was under the assumption that it would be a survey in everyone's opinion about what can be taken from the hybrid form of education to next year, instead of how I feel. In that respect, I think that for the good experience of education it should always be given 99% offline. And exams must always be taken offline. This ensures a completely different experience of the fabric and to what extent you dive into it. I would not have taken the amount of courses I passed this year if the exams had taken in the traditional way. So that works out well for myself, but it does reduce the quality of the program offered."
331,- No spontaneous encounters with fellow students - Motivation problems due to (1) a lack of relaxing activities and (2) the continuous dependent on yourself and your screen - interaction with teachers
332,"- Back and shoulder complaints of the many computers without a good chair - no reflection on your design process, because you do not have fellow students that you can compare with. - Sometimes a lot of stress whether I will get something on time. - Make very long days (8 hours to 11 pm), because I don't get home and because of this I have the idea that I have to continue working anyway. - Being able to alternate school with fun social activities and also get less and less looking forward to it. - The idea that you are not heard and this study only does a bit alone."
333,"I got a bit out of contact with friends, and I am now so used to studying at home, that I don't know how the switch to an on-campus study will go."
335,"I think the TU was not very much oncoming according to the needs of students. It took a long time before we could study on campus, there was a lot of hassle with online exams, etc., and some teachers let the students cook a bit in their soaked cooking what is getting to study and I think that was very unnecessary and that there was faster and more could be done. On the other hand, they are now doing well with the puzzle to bring as many students as possible to the campus and that is not the case with every faculty. I am especially disappointed in how long my faculty took to adapt to the situation."
337,Uncertainty in the run -up to online exams
341,Reason to Live
344,See previous answer. I feel very alone and only since 2 months do I see other students. I think that solid compensation should be given to students who have been living in crisis for a year and a half and do not receive any financial compensation for that!
350,"Because there is little social to do now, I notice that I and fellow students will spend even more time on Uni. I think it is healthier if there is a good distribution between relaxed/private life. Teachers come across unintellated to the webcam when they are sitting with their phone"
351,"Online lessons/lectures/working groups do not work. I hear this everywhere around me, but somehow it seems to be told the opposite on the news media every time. This is not correct and would like to raise it. It is very important that normal lessons can be given again in September."
354,"I am graduating, and it feels like I'm just standing for it"
358,Many Teacher Have Panicked because of Corona Crisis and They Overloaded BrightSpace with Material (in Many Cases Unsuitable for the Time Scale Avisable for The Student). The Same Problem Appears in Exams Which is Unfair for Students Who Focus On Depth And Quality Rather Than On Speed ​​and Quantity.
362,"You miss the possibility of asking a teacher in person. In Person you can ask the question a little better. Must say: some teachers are good to understand your question and to give a good, clear answer, so I have not been bothered by a few."
365,Meeting new people is now more difficult
366,I just want to finish my degree: D
368,"Maybe Some Professional to Talk to About Various Child of Problems Related to Pressure, Stress and Well-Being For Students. But Perhaps this is already available in some form?"
374,"- loneliness (nothing to do about it, fair Enough); - The evening clock led to serious depression for me, so that at some point I could no longer study (useful). Normally I am going to do something out in the evening (groceries, exercise) so that I can sleep with Piece of Mind (nothing to do from the university, Fair Enough); - The week off after semester 1 was disastrous for my mental health and I became depressed/angry with boredom and stacked frustration. This was no longer fast enough to make a good start with Semester 2. Starting my own project can start, but I have to finish something like that before I can really focus on the study again and 1 week is just too short; - At the end of Semester 1, 4 exams were planned for me in 1 day. The teachers referred me to the study advisor. He referred me back to the teachers on somewhat bijdehante, while I had really clearly explained that I had referred by the teachers. In the end I was only able to make 2 of the 4 exams (so on the same day). - At a certain point in Q2, almost all lectures were on the same days (concentration is already difficult via the computer). Looking back worked very well through Virtual Classroom; - Collaborating with other students was sometimes difficult: not everyone adhered to agreements made or responded in time for deadlines and some did not really seem interested in the full depth of the assignments (sometimes this was very frustrating). - I think it is well -known that plagiarism and fraud are not tolerated. Always emphasizing this made it difficult for me to see myself as part of TU Delft Community (especially if it happens electronically, because some illuminating humor is then impossible)."
375,"mental problems, too few social contacts, the feeling of losing friends"
376,Teachers need to know that there is a lot of pressure on students and take it more into account
379,"I have the idea that there is not really a weekend anymore. Every day runs open vaguely. However, I think it is difficult to find a solution for this, except to open the university more often. Perhaps something of study clusters idealize at the TU, where you can study in a small group o.i.d ...."
386,"Maybe less structure, but that is largely due to myself"
388,Studying completely independently and at home is not for me. I suspect that I will perform better next year.
391,The exams are made almost impossible. They are too long and spicy. I'd rather take all exams protoctored and at a normal level.
393,"Loneliness, Lack of Movement, Little time for hobbies, Feeling locked up, tired and drowsy by just working behind a screen"
394,concentrate while attending colleges at home. Lack of control with fellow students.
396,"I am personally very bad at individual work and Thrive on collaboration, sparring with students etc. As a graduate I missed this completely, a depression is added. Delay of more than a year is very likely."
397,"It was terrible to sit in my room endlessly. I mainly learn by talking to people about the material and much less from my book and from lectures. Because of this I put a lot of time into my studies without any results. In addition, I also experienced a lot of stress, because I love social contact a lot. I am sorry how last year went. I didn't get my BSA and it feels like I didn't have a fair chance."
398,"During the hybrid educational period, some things were reported plenary / physically to the group of students, but some students were in quarantine duty, they did not always get everything that was said because not everything was always absorbed well."
401,"Motivation was hard to find. Especially the usefulness of your actions, not knowing whether the future would ever return to normal, was difficult to portray. My worst home stay habits have also come up more. I have become more husy in the past year and a half and notice that I really have to get used to how people get back, as the world slowly opens again."
404,Little contact with people
405,"Mostly with the TU Delft itself. The University has a put a huge amount of stress and work on us although they knew we were stuck at home due to covid. When I Asked For Help and Addressed How Stressed, Anxious and Worried I Was, there was no reliable help and teachers didn't care at all."
406,"Gaming in contact with fellow students takes a lot of energy if it is not obvious, but that energy is difficult to bring if you have to put yourself to your desk every day, so you often don't really speak to anyone."
409,"You have no comparison material. You do not know where you are in an insufficient or a 7 etc. You don't know very well whether you are lagging behind the rest. Difficult to ask for help, because sometimes questions are not answered. It's like you're the only one doing this study."
410,"Ordinity in the courses, assignments and how and how much (possibilities for) help are offered. That really has to be better. I have also passed on ideas several times to the TU how things can be improved, but I have never received feedback about that and not noticed anything. As a result, I do not feel that these surveys really work."
411,"home college/ collaboration on projects works much better if it can be physically possible, prefer to work together physically for 2 hours than listen in the lecture hall, which is also possible at home"
412,"A lot of stress because you can't just do cozy with fellow students and keep each other sharp, little motivation and inspiration because you are not inspired by your environment at all (at home) at all"
413,2many Chief
414,"This year is though, give all the student some credit"
416,"There is not enough account of the negative impact that studying at home on the performance of courses. (Teachers may use the crisis as a reason why the lessons are worse, only the test moments are kept as if nothing has changed. Unfair and frustrating)"
418,"Work and Live at Home. No change of scenery, eSpeciate defling the winter months. My Personal Study Progress was good, however Lack of the Social Excitement is what makes you emotionless and gray about time."
427,Inability of professors with hybrid/online teaching. Thinking brainstorming sessions and ideas and group discussions are almost impossible online. Everyone forgets to give a break even after a year.
429,"concentrating while learning, because you are constantly in the same room and can go somewhere"
430,"Sitting too much behind a screen is very demotivating. Sometimes don't have to go outside for a few days in a row, it doesn't help."
433,"At the start of Corona, a number of my exams were moved to the next exam week, so I was extra busy (2 exam weeks in 1 actually). As a result, I have not achieved part of my courses, so that I can no longer finish my studies nominal anymore."
434,At the moment I just need some to talk with me.
435,"Often no hearing from teachers and often difficult to contact us via, for example, mail, and information seems to be withheld such as test exams. Using a forum also has disadvantages. Colleges sometimes of low quality with disturbing background, bad microphone and the teacher unprepared. Also not being allowed to go to the campus once a week is not nice. Study places on campus remain limited. Gigantically high study pressure Premaster students and sometimes schedule problems, with for example 2 exams of 3 hours on the same day."
440,"The Reason Why I Came to Study in The Netherlands is because the Education System in My Home Country Has Such Low Prestige. I really Enjoyed my ba at a different Dutch University, but the quality of education at tu delft was so inconsceivly low that I don't have for it for it. And what is sausage is that nobody (such as the study advisors or director of study) seems to care."
441,"I mainly suffered from dips, a period of 2 to 3 days that I didn't feel like anything, everything and everyone was stupid, I could not do social or be with groups of people. After those few days it went what weather, but I never had this for Corona"
